team,location,target,unit,bin_start_incl,bin_end_notincl,value,type
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,0.839386123,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,1,6,0.160493118,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,6,11,0.000120758,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,11,16,1.61E-09,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,16,21,2.35E-15,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
MHC,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,NA,NA,0.249069884,Point
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,0,1,0.487870966,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,0.447225053,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,6,11,0.064528958,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,11,16,0.000374754,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,16,21,2.70E-07,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,21,26,4.37E-11,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,26,31,2.24E-15,Bin
MHC,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
