team,location,target,unit,bin_start_incl,bin_end_notincl,value,type
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,0.903333333,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,1,Point
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,11,16,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,6,11,0,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,1,6,0.096666667,Bin
UI-NCSA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,1,Point
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,16,21,0.006666667,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,11,16,0,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,6,11,0.026666667,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,0.78,Bin
UI-NCSA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,0,1,0.186666667,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,0,1,1,Point
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,11,16,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,6,11,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,1,6,0.02,Bin
UI-NCSA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,0,1,0.98,Bin
UI-NCSA,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,0,1,1,Point
