team,location,target,unit,bin_start_incl,bin_end_notincl,value,type
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,0.322027,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,1,6,0.365065,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,6,11,0.206061,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,11,16,0.078522,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,16,21,0.022084,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,21,26,0.00518,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,26,31,0.000882,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,31,36,0.00016,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,36,41,1.70E-05,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,41,46,2.00E-06,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
LANL,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,NA,NA,3,Point
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,0,1,0.230892,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,0.338319,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,6,11,0.247989,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,11,16,0.12101,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,16,21,0.04471,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,21,26,0.013061,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,26,31,0.003236,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,31,36,0.000631,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,36,41,0.000134,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,41,46,1.60E-05,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,46,51,2.00E-06,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
LANL,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,NA,NA,3,Point
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,0,1,0.85,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,1,6,0.1,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,6,11,0.05,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,11,16,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
LANL,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,0,1,0.935203,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,1,6,0.062655,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,6,11,0.002106,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,11,16,3.60E-05,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
LANL,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
LANL,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,0,1,0.85,Bin
LANL,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,1,6,0.1,Bin
LANL,Alabama-Blount,Total WNV neuroinvasive disease cases,cases,6,11,0.05,Bin
