team,location,target,unit,bin_start_incl,bin_end_notincl,value,type
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,0,1,0.90472673,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,1,6,0.095272028,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,6,11,1.24E-06,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,11,16,4.68E-13,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UA,Alabama-Autauga,Total WNV neuroinvasive disease cases,cases,NA,NA,1,Point
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,0,1,0.63716347,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,1,6,0.362483377,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,6,11,0.000353142,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,11,16,1.15E-08,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,16,21,5.00E-14,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UA,Alabama-Baldwin,Total WNV neuroinvasive disease cases,cases,NA,NA,1,Point
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,0,1,1,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,1,6,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,6,11,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,11,16,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,16,21,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,21,26,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,26,31,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,31,36,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,36,41,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,41,46,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,46,51,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,51,101,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,101,151,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,151,201,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,201,1000,0,Bin
UA,Alabama-Barbour,Total WNV neuroinvasive disease cases,cases,NA,NA,0,Point
UA,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,0,1,1,Bin
UA,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,1,6,0,Bin
UA,Alabama-Bibb,Total WNV neuroinvasive disease cases,cases,6,11,0,Bin
